Name;Description;Stature;Leaf_tip_color;Bean_size;Optimal_Altitude_1;Optimal_Altitude_2;Optimal_Altitude_3;Quality_potential;Yield_potential;Coffee_leaf_rust;CBD;Nematodes;Year_First_Production;Nutrition_Requirement;Ripening_of_Fruit;CTGB;Planting_Density;Additional; Lineage;Genetic Description;History;Breeder;Intellectual_Property_Rights;Image
SL14;A high-yielding tall variety with drought and cold tolerance. Found mostly in Kenya and Uganda.;Tall;Light Bronze;Average;>1200m;>900m;>700m;Good;High;Susceptible;Susceptible;Susceptible;Year Three;Low;Unknown;Average;1000-2000 a/ha (using multiple-stem pruning);Drought and cold tolerant.;Typica-like genetic background.;Bourbon-Typica Group (Typica-related);"SL14 was originally selected in Kenya the late 1930s at the Scott Agricultural Laboratories (for more on Scott Labs, see SL28).  Individual tree selections made at the Scott Laboratories in Kenya during the 1935-1939 period were prefixed “SL.” SL14 was selected in 1936 from a single tree labeled Drought Resistant II (D.R. II), and drought tolerance is a noted characteristic of SL14.  Historical records documenting the origin of D.R. II were lost, but the seedlings were established at Kabete in 1933, and then widely distributed in areas east of the Rift Valley in Kenya. 
Recent genetic tests have confirmed that SL14 is related to the Typica genetic group. It is economically important in both Kenya and Uganda.";Scott Agricultural Laboratories;This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/plant.png
SL28;Drought tolerant and very good cup quality potential, but susceptible to major diseases. Found commonly in Kenya, Malawi, Uganda, Zimbabwe.;Tall;Green;Large;>1200m;>900m;>700m;Exceptional;Very High;Susceptible;Susceptible;Susceptible;Year Three;Low;Unknown;High;1000-2000 a/ha (using multiple-stem pruning);Drought tolerant. Shoot tips are mainly green but occasionally bronze types are observed. Primary branches are  predominantly semi-erect, but tend to become decumbent or drooping after successive crop-bearing seasons.;"Selection of ""Tanganika Drought Resistant."" Bourbon-like genetic background.";Bourbon-Typica Group (Bourbon-related);"SL28 is among the most well-known and well-regarded varieties of Africa. It has consequently spread from Kenya, where it was originally selected in the 1930s, to other parts of Africa (it is important in Arabica-growing regions of Uganda, in particular) and now to Latin America. The variety is suited for medium to high altitudes and shows resistance to drought, but is susceptible to the major diseases of coffee. SL28 is notable for its rusticity—a quality meaning that it can be left untended for years or even decades at a time, and then return to successful production. There are SL28 trees in many parts of Kenya that are 60-80 years old and still productive. 
SL28 was selected at the former Scott Agricultural Laboratories (now the National Agricultural Laboratories, NARL situated at Kabete—more information below).  Individual tree selections made at the Scott Laboratories during the 1935-1939 period were prefixed SL. Fourty-two trees of various origins were selected and studied for yield, quality, and drought and disease resistance. SL28 was selected in 1935 from a single tree in a population called Tanganyika Drought Resistant. In 1931, the senior coffee officer of Scott Labs, A.D. Trench, conducted a tour of  Tanganyika (now Tanzania). According to historical documents, he noticed a variety growing in the Moduli district that appeared to be tolerant to drought, diseases and pests. Seed was collected and brought back to Scott Laboratories, where its drought resistance was confirmed. It was widely distributed until superseded by its progeny, SL28. SL28 was considered the prize selection of this period of intensive breeding.
Recent genetic tests have confirmed that SL28 is related to the Bourbon genetic group.
History of Scott Agricultural Laboratories
Scott Agricultural Laboratories (now the National Agricultural Laboratories, NARL) was established by the colonial British government in Kenya in 1922. It conducted agricultural research and provided technical advice and training to Kenyan farmers on behalf of the Department of Agriculture. Scott Agricultural Labs employed an entomologist, a mycologist, and a plant breeder. The Coffee Section, previously housed in a central office of the department, was moved to the laboratories in 1934 and had twenty-four acres dedicated to coffee. The name of the unit was derived from the history of its buildings. Constructed in 1913 as a sanatorium and used during the First World War as a war hospital, the buildings were named for Dr. Henry Scott, a missionary from the Church of Scotland. When the Department of Agriculture took over the buildings in 1922, they named them the Scott Agricultural Laboratories. Both Scott Agricultural Laboratories in Kenya and Lyamungo Research Station in Tanganyika became the main centers for coffee breeding in East Africa.
Research was conducted at the lab and in cooperation with private estate owners. A history of the labs states: “The trial of imported varieties is a conspicuous feature of the work at the Laboratories…. Selections from individual trees showing desirable characteristics are being grown.” Other coffee work included comparative yield trials, grafting experiments, and effects of pruning, shade trials, and cover crops, among others. In 1944, Kenya decided to move coffee research to a dedicated coffee research station with better facilities for field experiments; Jacaranda Estates (20 miles north of Ruiru) with 380 acres. It became operational in 1949.  Substations were also established in Upper Kiambu in 1957, Meru in 1958, Kitale in 1938, Lake Victoria in 1959, and Kisii in 1957.";Scott Agricultural Laboratories;This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/dscf9291-640x427-q50.jpg
SL34;Exceptional cup quality but highly susceptible to coffee berry disease.  Found mostly in Kenya.;Tall;Dark Bronze;Large;>1200m;>900m;>700m;Exceptional;High;Susceptible;Susceptible;Susceptible;Year Three;Medium;Unknown;High;1000-2000 a/ha (using multiple-stem pruning);SL34 is adapted to high altitude areas with good rainfall.  It is characterized by dark bronze shoot tipped plants with a few green-tipped strains. The laterals have semi-erect habit which tend to droop on older primary branches.;Typica-like genetic background.;Bourbon-Typica Group (Typica-related);"SL34 was originally selected in Kenya the late 1930s at the Scott Agricultural Laboratories (for more on Scott Labs, see SL28).  Individual tree selections made at the Scott Laboratories in Kenya during the 1935-1939 period were prefixed “SL.” SL34 was selected from a single tree on the Loresho Estate in Kabete, Kenya since research at the Scott Laboratories was often conducted in cooperation with local, private estate owners. The tree was labeled “French Mission.” 
French missionaries known as Spiritans established a mission in 1893 at Bura (Taita Hills, Kenya), in which Bourbon coffee seeds originating from La Réunion island were planted. The seedlings from Bura were brought to another French Mission in Saint Austin (near Nairobi) in 1899, and from there seeds were distributed to settlers willing to grow coffee. This is the origin of so-called French Mission coffee. 
Because of the historical movement of coffee seeds directly from La Réunion via the French missionaries, French Mission is widely understood to be another name for Bourbon. However, recent genetic tests have indicated that SL34 is related to the Typica genetic group. It is possible that the original story about SL34 being selected from a French Mission population could be incorrect.";Scott Agricultural Laboratories;This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/sweetmarias-sl34-640x400-q50.jpg
Starmaya;High yielding plant adapted to medium altitudes. Notably high acidity in the cup. The first coffee F1 hybrid propagated by seed.;Dwarf/Compact;Green;Large;1200-1600m;900-1300m;700-1000m;Very Good;High;Resistant;Unknown;Unknown;Year Two;Medium;Average;High;4000-5000 a/ha  (using single-stem pruning);"Variety not uniform. When planted, approximately 15% of plants will ""segregate"" (have different appearance/performance than the standard).";Marsallesa x wild Ethiopian/Sudanese natural mutant;F1 Hybrid (Introgressed);"A first-generation (F1) hybrid originating from a cross between Marsellesa and a male-sterile Ethiopian or Sudanese landrace variety.  Starmaya is the only F1 hybrid in the world propagated by seed, rather than through costly biotechnology. Before Starmaya, the only way to efficiently reproduce F1 hybrids for farmers has been through cloning (tissue culture cloning/somatic embryogenesis) or manual pollination of the mother and father plants, both of which methods are costly and have limited capacity.  
Typically, F1 hybrid parents are chosen to be  genetically distant from one another; this distance maximizes hybrid vigor, which translates into high yields and overall vigor (for example, tolerance to frost), without losses in cup quality or disease resistance. There are only a handful of F1 hybrid coffee varieties in the world, most developed in the last 10 years, and only recently commercially available to farmers. 
As early as 1998, coffee breeders recognized that it would be theoretically possible to propagate F1 hybrids via seed if one of the parent plants were sterile. If you place two different fertile coffee varieties—your desired hybrid Mother and Father varieties—together in a typical field of coffee, some offspring would be the result of Mother to Mother crossing (resulting in offspring that look like the Mother), some Father to Father (offspring like the Father), and only some would be Mother to Father (offspring hybrids of the two). This is obviously an inefficient way to produce hybrid seed.
However, if one of the varieties in the field is sterile (meaning it does not produce pollen), then any offspring (e.g., coffee cherries, the product of sexual reproduction of the Mother and Father) that appear on male sterile plants must be hybrids between Mother x Father. Wind or pollinators would carry the pollen from the pollen-producing variety onto the sterile variety, and the resulting cherries would necessarily be hybrids. The challenge was to find a naturally male sterile plant that could be a suitable breeding parent.
In 2001, researchers from Centre de coopération internationale en recherche agronomique pour le développement (CIRAD) collaborating in a public-private coffee breeding project with ECOM, noticed a male-sterile Arabica plant growing in a population of wild Ethiopian and Sudanese coffees on the La Cumplida farm in Nicaragua. Breeders crossed it with Marsellesa, a newer-generation rust-resistant variety (Timor Hybrid 832/2 x Villa Sarchi CIFC 971/10). After observing good performance in field trials in Nicaragua, ECOM released the variety, naming it Starmaya.";CIRAD-ECOM;Registration in the International Union for the Protection of New Varieties of Plants (UPOV) is currently in process.;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/dscf9329-640x427-q50.jpg
T5175;High yielding plant adapted to lowest altitudes. Requires high fertilization. Variety not uniform.;Dwarf/Compact;Dark Bronze;Average;1000-1600m;700-1300m;400-1000m;Very Low;High;Resistant;Susceptible;Susceptible;Year Two;Very High;Average;Low;4000-5000 a/ha  (using single-stem pruning);"Highly susceptible to Ojo de Gallo. T5175 is not homogeneous; plants are not stable from one generation to the next.";Timor Hybrid 832/1 x Caturra;Introgressed (Catimor);"A cross between Timor Hybrid 832/1 and Caturra. Pedigree selection (selection of individual plants through successive generations) made by the Instituto del Café de Costa Rica (ICAFE). Never officially released by ICAFE.
In the 1970s, the Centro Agronómico Tropical de Investigación y Enseñanza (CATIE) research station in Costa Rica received third generation (F3) progeny of  T5175 from the University Federal de Viçosa in Brazil, which had done initial selection on populations created from a cross of Timor Hybrid 832/1 and Caturra at the Centro de Investigação das Ferrugens do Cafeeiro of Portugal (CIFC). Their designation for the cross was H26. In Central America, it was given the designation T5175 (“T” represents Turrialba, where the CATIE research station is based).  
In Honduras, additional selection of T5175 led to the creation of IHCAFE-90 and Lempira.
For more background on the history of the Catimor group of coffees, see T8667.";Instituto del Café de Costa Rica (ICAFE);This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/t5175_1-640x427-q50.jpg
T5296;Well-adapted to medium altitudes. Variety not uniform.;Dwarf/Compact;Green;Large;1000-1600m;700-1300m;400-1000m;Good;Good;Resistant;Tolerant;Unknown;Year Three;High;Average;High;5000-6000 a/ha  (using single-stem pruning);"T5296 not uniform; plants are not stable from one generation to the next.  Nematodes: Not resistant to Pratylenchus spp. There may be varying degrees of resistance to Meloidogyne exigua.";Timor Hybrid CIFC 832/2 x Villa Sarchi;Introgressed (Sarchimor);"In coffee breeding, T5296 is an important coffee leaf-rust-resistant plant that is nonetheless not recommended for farmers because it is not stable from one generation to the next. Cuscatleco and Paranaima are both pedigree selections of T5296 made by national breeding programs in El Salvador and Honduras, respectively. In addition, many of the newer F1 hybrid varieties were created by crossing T5296 with Ethiopian landraces (examples include Centroamericano, Milenio, and Mundo Maya).
T5296 has its origins with the earliest days of the Central American regional consortium called PROMECAFE, which was founded in 1978 with funding from USAID’s Regional Office for Central American Programs (ROCAP) and Instituto Agronômico de Campinas  (IAC)  in Brazil to respond to the threat posed by the recent arrival of coffee leaf rust in the region. 
Detailed history of the Sarchimor group  of varieties
In 1958 or 1959, the Centro de Investigação das Ferrugens do Cafeeiro of Portugal (CIFC), famous for its research into coffee leaf rust, received a lot of Timor Hybrid seeds from the island of Timor. Timor Hybrid  is a natural cross between C. arabica and C. canephora (Robusta)  that appeared spontaneously on the island of Timor in 1920s. Its Robusta genetics conferred rust resistance into the variety. From the two shipments of seeds that CIFC received, they had selected two plants for use in breeding based on their high resistance to leaf rust.  In 1967, breeders in Portugal began work to create new varieties of coffee that would be resistant to the disease, but also have a compact stature that could be planted more densely. One of the rust-resistant Timor Hybrid plants, called HDT CIFC 832/2, was crossed with compact Villa Sarchi to create hybrid 361 (H361). The hybrid was dubbed “Sarchimor.”
They created the hybrid just in time for the arrival of leaf rust in the Americas. 
After some initial testing at IAC in Brazil, in 1971 CIFC sent H361 out for field trials in experimental centers in several countries, including Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, the Dominican Republic, Laos, Malawi, Mozambique, Sao Tome, Thailand and Venezuela. In response to the crisis, Central American countries banded together to form the Regional Cooperative Program for the Technological Development and Modernization of the Coffee Industry (PROMECAFE) in 1978. 
In Central America, H361 was first sent to the Centro Agronómico Tropical de Investigación y Enseñanza (CATIE) research station in Costa Rica. The population studied there was given the designation T5296 (“T” represents Turrialba, where CATIE is based). The work of selective breeding on T5296 was led by researcher AJ Bettencourt. From this central trial, T5296 was sent out to national breeding programs in the region. In Honduras, further generations of selection led to the variety that is known as Parainema. In El Salvador, further generations of selection led to the variety that is known as Cuscatleco. In Puerto Rico, the Sarchimor population was called Limani. Similar selections were done in Brazil to create Obata, Tupi, and IAPAR 59.
It’s important to note that, contrary to common belief, ""Sarchimor"" is not iteself a distinct variety. Instead, it is a group of many different distinct varieties with similar parentage.";;This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/plant.png
T8667;High yielding variety, resistant to rust, and adapted to warmest zones and acidic soils.;Dwarf/Compact;Bronze;Average;1000-1600m;700-1300m;400-1000m;Low;High;Resistant;Susceptible;Susceptible;Year Three;High;Average;Low;5000-6000 a/ha  (using single-stem pruning);Susceptible to Ojo de Gallo, recommended for acidic soils and soils rich in aluminum, as well as warm climates. In Peru, the recommended elevation is between 800 and 1400 meters.;Timor Hybrid 832/1 x Caturra;Introgressed (Catimor);"A selection of a cross between Timor Hybrid 832/1 and Caturra.  In Central American coffee breeding, T8667 is an important coffee leaf-rust-resistant plant. T8667 has its origins with the earliest days of the Central American regional consortium called PROMECAFE, which was founded in 1978 with funding from USAID’s Regional Office for Central American Programs (ROCAP) and Instituto Agronômico de Campinas  (IAC) in Brazil to respond to the threat posed by the recent arrival of coffee leaf rust in the region. 
In 1978, the Centro Agronómico Tropical de Investigación y Enseñanza (CATIE) research station in Costa Rica received fifth generation (F5) progeny of  T8667 from the University Federal de Viçosa in Brazil, which had done initial selection on populations created from a cross of Timor Hybrid 832/1 and Caturra at the Centro de Investigação das Ferrugens do Cafeeiro of Portugal (CIFC). Their designation for the cross was H26. In Central America, it was given the designation T-8667 (“T” represents Turrialba, where the CATIE research station is based).  Private farms in Central America did further ""mass selection"" of T-8667 (""mass selection"" means that a group of individuals are selected based on their superior performance, seed from these plants is bulked to form a new generation, and then the process is repeated), and seed from these experiments was distributed throughout the region, particularly in the late 1980s. In Costa Rica, CATIE performed additional selection of T-8667 to create Costa Rica 95; IHCAFE in Honduras did the same to create the variety Lempira; and El Salvador did the same to create Catisic.
Detailed history of the Catimor  group  of varieties
In 1958 or 1959, the CIFC, famous for its research into coffee leaf rust, received a lot of Timor Hybrid seeds from the island of Timor. Timor Hybrid is a natural cross between C. arabica and C. canephora (Robusta)  that appeared spontaneously on the island of Timor in 1920s. It’s Robusta genetics conferred rust resistance into the variety. From the two shipments of seeds that CIFC received, they selected two plants for use in breeding based on their high resistance to leaf rust.  In 1967, breeders in Portugal began work to create new varieties of coffee that would be resistant to the disease, but also have a compact stature that could be planted more densely. Some of the rust-resistant Timor Hybrid lines were crossed with compact Caturra  to create different hybrid lines: 

Red Caturra CIFC 19/1 x HDT CIFC 832/1 = HW26
Red Caturra CIFC 19/1 x HDT CIFC 832/2 = H46

After some initial testing at IAC in Brazil, the hybrids were dubbed “Catimor.” They were created just in time for the arrival of leaf rust in the Americas.  From CIFC, derivatives of these original Catimor crosses were distributed throughout the world for additional local selection and eventual release to farmers. It’s important to note that, contrary to common belief, Catimor is not a distinct variety. Instead, it is a group of many different distinct varieties with similar parentage.
In Malawi, the Coffee Research Unit of the Tea Research Foundation adopted five Catimor progenies. In Papua New Guinea, six Catimor lines were selected and released. Catimors have also undergone generational selection and field testing in many places in Latin America.";None;This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/plant.png
Tekisic;A variety selected in El Salvador, and known for excellent cup quality in the highest altitudes.;Tall;Green;Average;>1600m;>1300m;>1000m;Very Good;Medium;Susceptible;Susceptible;Susceptible;Year Four;Medium;Early;Average;3000-4000 (using single stem pruning);;A selection of the Bourbon variety;Bourbon-Typica Group (Bourbon-related);"A selection of the Bourbon variety made by the Salvadoran Institute for Coffee Research (ISIC) beginning in the 1949 and released in 1977. The selection process for Tekisic was called ""mass selection,"" meaning that a group of individuals are selected based on their superior performance, seed from these plants is bulked to form a new generation, and then the process is repeated. Breeders achieved a variety that ripens early, has very good quality potential on optimal conditions, and has higher production than unselected Bourbons between 900 and 1500 meters. Unfortunately, the variety is not resistant to major diseases including coffee leaf rust.
The name Tekisic comes from tekiti, a word meaning “work” in the Nahuatl language, and ISIC. It was indeed a lot of work to create the variety—the Salvadoran Institute for Coffee Research (ISIC) spent nearly 30 years performing selections to create it, beginning in the 1949 and culminating with its release in 1977. It is widespread in El Salvador, where Tekisic and unselected Bourbon make up nearly 70% of coffee production. It is also economically important in Guatemala.
Since Tekisic is merely a selection of the Bourbon variety, the story of Tekisic is really the story of Bourbon—one of the most culturally and genetically important C. Arabica coffees in the world. For more, see Bourbon.  Latin America breeders such as those at ISIC have exploited the narrow genetic base of Bourbon to create new cultivars that have improved performance in various traits—yield, quality, etc.";Instituto Salvadoreño de Investigaciones del Café (ISIC);This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/tekisic_1-640x427-q50.jpg
Typica;One of the most culturally and genetically important C. arabica coffees in the world, with high quality in Central America. Very high susceptibility to coffee leaf rust, well-adapted to the coldest conditions.;Tall;Bronze;Large;>1600m;>1300m;>1000m;Very Good;Low;Susceptible;Susceptible;Susceptible;Year Four;Medium;Average;Average;3000-4000 (using single stem pruning);;Also called Criollo (Creole), Indio (Indian), Arábigo (Arabica), Plume Hidalgo, Blue Mountain, and Sumatra.;Bourbon-Typica Group (Typica-related);"Typica is the most famous of the Typica-descended varieties (see History of Bourbon and Typica for a full history of this group of coffees). It is a tall variety characterized by very low production, susceptibility to the major diseases, and good cup quality.
The Typica group, like all Arabica coffee, is supposed to have originated in southwestern Ethiopia. Sometime in the 15th or 16th century, it was taken to Yemen. By 1700, seeds from Yemen were being cultivated in India. In 1696 and 1699, coffee seeds were sent from the Malabar coast of India to the island of Batavia (today called Java in Indonesia).  These few seeds were the ones to give rise to what we now know as the distinct Typica variety. In 1706 a single Typica coffee plant was taken from Java to Amsterdam and given a home in the botanical gardens; from there, a plant was shared with France in 1714. 
From the Netherlands, Typica was sent in 1719 on colonial trade routes to Dutch Guiana (now Suriname) and then on to Cayenne (French Guiana) in 1722, and from there to the northern part of Brazil in 1727. It reached southern Brazil between 1760 and 1770.  From Paris, plants were sent to to Martinique in the West Indies in 1723. The English introduced Typica coffee from Martinique to Jamaica in 1730. It reached Santo Domingo in 1735. From Santo Domingo, seeds were sent to Cuba in 1748. Later on, Costa Rica (1779) and El Salvador (1840) received seeds from Cuba. 
In the late eighteenth century, cultivation spread to the Caribbean (Cuba, Puerto Rico, Santo Domingo), Mexico and Colombia, and from there across Central America (it was grown in El Salvador as early as 1740). Until the 1940s, the majority of coffee plantations in South and Central America were planted with Typica. Because Typica is both low yielding and highly susceptible to major coffee diseases, it has gradually been replaced across much of the Americas, but is still widely planted in Peru, the Dominican Republic, and Jamaica, where it is called Jamaica Blue Mountain.";None;This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/typica_1-640x427-q50.jpg
Venecia;Very high susceptibility to coffee leaf rust. Well-adapted to rainy zones due to late harvest during dry season.;Dwarf/Compact;Green;Large;>1200m;>900m;>700m;Good;Good;Susceptible;Susceptible;Susceptible;Year Three;High;Late;Average;5000-6000 a/ha  (using single-stem pruning);;A natural mutation of Bourbon;Bourbon-Typica Group (Bourbon-related);Originated from a natural mutation of a Bourbon population. Pedigree selection (selection  of individual plants through successive generations) made by the Instituto del Café de Costa Rica (ICAFE).;Instituto del Café de Costa Rica (ICAFE);This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/plant.png
Villa Sarchi;Well-adpated to highest altitude conditions and tolerant of strong winds.;Dwarf/Compact;Green;Below Average;>1600m;>1300m;>1000m;Good;Good;Susceptible;Susceptible;Susceptible;Year Three;High;Average;Average;5000-6000 a/ha  (using single-stem pruning);Well-adpated to highest altitude conditions and tolerant of strong winds.;A natural mutation of Bourbon;Bourbon-Typica Group (Bourbon-related);"Like Caturra and Pacas, Villa Sarchi (also called La Luisa or Villalobos Bourbon) is a natural mutation of a Bourbon population with a single-gene mutation that causes the plant to grow smaller (called “dwarfism’).  The variety was discovered in Costa Rica in the 1950s or 1960s in the northwestern region of the province of Alajuela, and has subsequently undergone pedigree selection (selection of individual plants through successive generations) there. It is not widely grown outside Costa Rica, though was introduced to Honduras in 1974 by IHCAFE. 
It is known for being well-adpated to the highest altitude conditions and tolerant of strong winds. 
Villa Sarchi is perhaps most well known as one of the namesakes of the “Sarchimor” group of coffees. In the 1970s, coffee breeders and growers in Latin America, as well as the global coffee industry that depended on coffee from the region, were extremely concerned about the recent arrival of coffee leaf rust in Latin America. 
In 1958 or 1959, the Centro de Investigação das Ferrugens do Cafeeiro of Portugal (CIFC), famous for its research into coffee leaf rust, received two shipments of Timor Hybrid seeds. Timor Hybrid is a natural cross between Arabica and Robusta that appeared spontaneously on the island of East Timor in 1920s. Its Robusta genetics conferred rust resistance into the variety. From the two shipments of seeds that CIFC received, breeders selected two plants for use in breeding based on their high resistance to leaf rust. In 1967,  CIFC breeders began work to create new varieties of coffee that would be resistant to coffee leaf rust, but also have a compact stature that could be planted more densely. One of the rust-resistant Timor Hybrid plants, called HDT CIFC 832/2, was crossed with compact Villa Sarchi to create hybrid 361 (H361). The hybrid was dubbed “Sarchimor.” (Crosses made with compact Caturra were dubbed ""Catimor."")";Instituto del Café de Costa Rica (ICAFE);This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/villa-sarchi-5-640x480-q50.jpg
